dish_id,calories,mass,fat,carb,protein,calorie_level,image_path
dish_1562086702,178.529999,33.0,13.86,0.462,12.21,low,data/nutrition5k/images_expanded/dish_1562086702.png
dish_1562169762,262.330139,210.0,18.239729,6.993764,17.674047,low,data/nutrition5k/images_expanded/dish_1562169762.png
dish_1564675118,177.188782,238.0,4.080829,34.125175,2.032732,low,data/nutrition5k/images_expanded/dish_1564675118.png
dish_1563389413,34.649998,99.0,0.396,6.93,2.376,low,data/nutrition5k/images_expanded/dish_1563389413.png
dish_1567110556,127.107117,150.0,10.841025,7.109585,2.239599,low,data/nutrition5k/images_expanded/dish_1567110556.png
dish_1562945186,191.530792,219.0,8.581273,17.336327,13.361717,low,data/nutrition5k/images_expanded/dish_1562945186.png
dish_1561752535,358.001984,307.0,18.121077,21.717422,28.101458,low,data/nutrition5k/images_expanded/dish_1561752535.png
dish_1563811463,220.585373,376.0,2.699951,22.557051,23.124781,low,data/nutrition5k/images_expanded/dish_1563811463.png
dish_1565034681,323.553284,185.0,18.93251,29.18774,10.422204,low,data/nutrition5k/images_expanded/dish_1565034681.png
dish_1562876531,66.066925,85.0,2.410626,3.079953,8.375736,low,data/nutrition5k/images_expanded/dish_1562876531.png
dish_1572625859,0.0,250.0,0.0,0.0,0.0,low,data/nutrition5k/images_expanded/dish_1572625859.png
dish_1561580322,44.25,76.0,1.228,6.672,2.662,low,data/nutrition5k/images_expanded/dish_1561580322.png
dish_1559060106,206.369995,195.0,8.643,23.68,8.907001,low,data/nutrition5k/images_expanded/dish_1559060106.png
dish_1564432191,261.028381,220.0,11.519486,32.141861,9.461219,low,data/nutrition5k/images_expanded/dish_1564432191.png
dish_1566936323,368.292206,318.0,24.078575,11.995163,45.8591,low,data/nutrition5k/images_expanded/dish_1566936323.png
dish_1560441529,66.419998,152.0,0.325,16.469999,1.009,low,data/nutrition5k/images_expanded/dish_1560441529.png
dish_1558110385,52.869999,34.0,3.57,0.408,4.25,low,data/nutrition5k/images_expanded/dish_1558110385.png
dish_1559843492,31.710001,95.0,0.303,7.42,0.971,low,data/nutrition5k/images_expanded/dish_1559843492.png
dish_1565812116,44.44017,36.0,4.222879,1.449468,0.863946,low,data/nutrition5k/images_expanded/dish_1565812116.png
dish_1561576618,57.924408,188.0,2.318721,8.419776,1.749612,low,data/nutrition5k/images_expanded/dish_1561576618.png
dish_1565379827,150.530945,235.0,4.162645,27.104969,2.631936,low,data/nutrition5k/images_expanded/dish_1565379827.png
dish_1562873187,64.216751,255.0,2.404025,9.26375,4.02645,low,data/nutrition5k/images_expanded/dish_1562873187.png
dish_1566934152,305.065247,396.0,15.832462,11.562181,29.805676,low,data/nutrition5k/images_expanded/dish_1566934152.png
dish_1561405332,18.549999,53.0,0.212,3.71,1.272,low,data/nutrition5k/images_expanded/dish_1561405332.png
dish_1561753371,221.257736,103.0,11.171755,10.944118,19.031263,low,data/nutrition5k/images_expanded/dish_1561753371.png
dish_1557936645,11.88,36.0,0.108,2.88,0.252,low,data/nutrition5k/images_expanded/dish_1557936645.png
dish_1560539340,196.53833,228.0,19.818401,9.337587,22.851414,low,data/nutrition5k/images_expanded/dish_1560539340.png
dish_1574444158,0.0,162.0,0.0,0.0,0.0,low,data/nutrition5k/images_expanded/dish_1574444158.png
dish_1561740385,99.374557,139.0,6.882791,9.440247,1.758757,low,data/nutrition5k/images_expanded/dish_1561740385.png
dish_1573848859,0.0,277.0,0.0,0.0,0.0,low,data/nutrition5k/images_expanded/dish_1573848859.png
dish_1564503184,97.379997,18.0,7.56,0.252,6.66,low,data/nutrition5k/images_expanded/dish_1564503184.png
dish_1561737839,210.899994,370.0,1.11,51.799999,2.59,low,data/nutrition5k/images_expanded/dish_1561737839.png
dish_1566329257,321.025208,537.0,14.637179,22.744293,29.529112,low,data/nutrition5k/images_expanded/dish_1566329257.png
dish_1563812570,369.08429,320.0,17.96558,11.348774,37.687,low,data/nutrition5k/images_expanded/dish_1563812570.png
dish_1558639221,24.5,98.0,0.294,4.9,1.764,low,data/nutrition5k/images_expanded/dish_1558639221.png
dish_1562950018,200.220001,142.0,9.656,25.560001,2.982,low,data/nutrition5k/images_expanded/dish_1562950018.png
dish_1563996485,178.039185,201.0,11.607642,16.567097,4.172902,low,data/nutrition5k/images_expanded/dish_1563996485.png
dish_1575307466,0.0,82.0,0.0,0.0,0.0,low,data/nutrition5k/images_expanded/dish_1575307466.png
dish_1567110631,252.613922,260.0,14.578888,27.507641,6.725035,low,data/nutrition5k/images_expanded/dish_1567110631.png
dish_1565727821,281.123993,196.0,10.092001,6.161,40.348,low,data/nutrition5k/images_expanded/dish_1565727821.png
dish_1565984434,319.892303,430.0,12.747005,36.362114,17.977343,low,data/nutrition5k/images_expanded/dish_1565984434.png
dish_1562603569,121.679504,62.0,7.050731,8.625269,5.648293,low,data/nutrition5k/images_expanded/dish_1562603569.png
dish_1559844611,55.889999,81.0,0.162,14.580001,0.567,low,data/nutrition5k/images_expanded/dish_1559844611.png
dish_1566587714,347.536987,373.0,12.770625,21.091198,37.732044,low,data/nutrition5k/images_expanded/dish_1566587714.png
dish_1558636544,410.451019,71.0,35.145,16.117001,15.904,medium,data/nutrition5k/images_expanded/dish_1558636544.png
dish_1564689219,506.847046,474.0,28.081553,44.726837,27.231215,medium,data/nutrition5k/images_expanded/dish_1564689219.png
dish_1562603842,594.2453,237.0,38.460644,60.725197,6.708,medium,data/nutrition5k/images_expanded/dish_1562603842.png
dish_1562010315,671.106934,477.0,38.237114,19.743494,61.929153,medium,data/nutrition5k/images_expanded/dish_1562010315.png
dish_1562790295,538.709778,268.0,44.67403,11.449524,28.011915,medium,data/nutrition5k/images_expanded/dish_1562790295.png
dish_1566938026,450.576294,219.0,17.546904,37.536308,33.509502,medium,data/nutrition5k/images_expanded/dish_1566938026.png
dish_1561492204,488.636322,334.0,15.686282,49.120712,37.193401,medium,data/nutrition5k/images_expanded/dish_1561492204.png
dish_1562861174,401.797852,274.0,26.503939,3.740394,33.422729,medium,data/nutrition5k/images_expanded/dish_1562861174.png
dish_1563294547,430.265656,455.0,16.907398,71.27211,4.364019,medium,data/nutrition5k/images_expanded/dish_1563294547.png
dish_1568318361,540.820007,341.0,35.215996,9.174999,49.085999,medium,data/nutrition5k/images_expanded/dish_1568318361.png
dish_1558630325,751.541992,269.0,58.078003,46.563999,27.081001,medium,data/nutrition5k/images_expanded/dish_1558630325.png
dish_1567625434,581.253052,396.0,25.45192,23.362089,65.588402,medium,data/nutrition5k/images_expanded/dish_1567625434.png
dish_1568401302,716.47937,561.0,28.946722,69.864967,44.677963,medium,data/nutrition5k/images_expanded/dish_1568401302.png
dish_1564432238,455.387939,315.0,23.15468,34.854778,28.074873,medium,data/nutrition5k/images_expanded/dish_1564432238.png
dish_1563307575,671.082031,419.0,38.148251,25.06155,53.939724,medium,data/nutrition5k/images_expanded/dish_1563307575.png
dish_1561654392,494.065491,282.0,35.081356,13.55521,30.914278,medium,data/nutrition5k/images_expanded/dish_1561654392.png
dish_1558380557,699.320068,212.0,54.440002,24.960001,32.732002,medium,data/nutrition5k/images_expanded/dish_1558380557.png
dish_1564601600,600.798035,434.0,34.061848,39.35067,36.421764,medium,data/nutrition5k/images_expanded/dish_1564601600.png
dish_1561060642,468.412384,387.0,18.522783,39.183205,36.67416,medium,data/nutrition5k/images_expanded/dish_1561060642.png
dish_1563475953,427.446991,453.0,15.452144,37.594398,34.205318,medium,data/nutrition5k/images_expanded/dish_1563475953.png
dish_1558637393,739.968018,128.0,63.360001,29.056,28.672001,medium,data/nutrition5k/images_expanded/dish_1558637393.png
dish_1567525712,510.544769,184.0,40.46138,32.97702,6.916218,medium,data/nutrition5k/images_expanded/dish_1567525712.png
dish_1563389742,569.417969,556.0,29.556002,30.394001,48.338997,medium,data/nutrition5k/images_expanded/dish_1563389742.png
dish_1558376984,671.67804,350.0,45.584,30.23,45.440006,medium,data/nutrition5k/images_expanded/dish_1558376984.png
dish_1564605293,404.167999,152.0,14.287999,50.920002,17.024,medium,data/nutrition5k/images_expanded/dish_1564605293.png
dish_1566844850,491.235168,345.0,25.456135,30.58173,35.928123,medium,data/nutrition5k/images_expanded/dish_1566844850.png
dish_1565036890,520.864685,260.0,23.834845,38.407925,35.657082,medium,data/nutrition5k/images_expanded/dish_1565036890.png
dish_1561737200,478.582001,262.0,32.230999,5.929,37.081001,medium,data/nutrition5k/images_expanded/dish_1561737200.png
dish_1565021185,481.503418,296.0,28.395676,30.147346,26.921808,medium,data/nutrition5k/images_expanded/dish_1565021185.png
dish_1567789230,689.428406,300.0,56.708199,9.1372,34.373402,medium,data/nutrition5k/images_expanded/dish_1567789230.png
dish_1564601638,712.456421,541.0,46.945045,42.989044,51.12669,medium,data/nutrition5k/images_expanded/dish_1564601638.png
dish_1565972715,657.545837,510.0,46.845226,15.662046,43.166805,medium,data/nutrition5k/images_expanded/dish_1565972715.png
dish_1567542953,542.496338,354.0,21.49774,56.767731,30.133644,medium,data/nutrition5k/images_expanded/dish_1567542953.png
dish_1563302391,401.215424,311.0,14.095317,22.372875,45.017166,medium,data/nutrition5k/images_expanded/dish_1563302391.png
dish_1559581333,415.946747,234.0,30.925364,4.350251,27.957258,medium,data/nutrition5k/images_expanded/dish_1559581333.png
dish_1564778057,575.185059,377.0,33.986801,35.539471,31.990742,medium,data/nutrition5k/images_expanded/dish_1564778057.png
dish_1562959799,498.765594,363.0,21.28801,46.103294,30.849312,medium,data/nutrition5k/images_expanded/dish_1562959799.png
dish_1566590007,740.762024,457.0,29.233101,57.950996,61.798248,medium,data/nutrition5k/images_expanded/dish_1566590007.png
dish_1559581356,436.946686,294.0,31.165363,8.55025,29.397259,medium,data/nutrition5k/images_expanded/dish_1559581356.png
dish_1562787848,416.802032,248.0,22.151569,30.17654,26.496395,medium,data/nutrition5k/images_expanded/dish_1562787848.png
dish_1562961650,555.712891,312.0,32.363281,40.29348,45.515503,medium,data/nutrition5k/images_expanded/dish_1562961650.png
dish_1563481061,541.200073,350.0,29.770956,34.385365,32.6689,medium,data/nutrition5k/images_expanded/dish_1563481061.png
dish_1566502505,454.517365,275.0,22.45969,33.146801,31.874937,medium,data/nutrition5k/images_expanded/dish_1566502505.png
dish_1562615153,468.202423,286.0,29.068731,15.152088,36.833271,medium,data/nutrition5k/images_expanded/dish_1562615153.png
dish_1565711570,603.827271,324.0,41.255486,34.236149,26.61869,medium,data/nutrition5k/images_expanded/dish_1565711570.png
dish_1563305722,434.658997,405.0,12.195141,9.579062,69.960106,medium,data/nutrition5k/images_expanded/dish_1563305722.png
dish_1563551194,471.643555,400.0,14.045855,57.670921,27.842804,medium,data/nutrition5k/images_expanded/dish_1563551194.png
dish_1566851222,550.827515,375.0,24.320635,53.79369,29.52721,medium,data/nutrition5k/images_expanded/dish_1566851222.png
dish_1562007842,492.281372,434.0,15.187502,61.395573,27.796635,medium,data/nutrition5k/images_expanded/dish_1562007842.png
dish_1566934430,519.542847,361.0,43.782825,37.582497,49.058041,medium,data/nutrition5k/images_expanded/dish_1566934430.png
dish_1563564797,411.264465,310.0,24.779562,30.171246,32.680634,medium,data/nutrition5k/images_expanded/dish_1563564797.png
dish_1567108037,674.73053,365.0,40.596661,18.422499,55.602726,medium,data/nutrition5k/images_expanded/dish_1567108037.png
dish_1560541793,509.826233,462.0,17.805128,22.27054,64.406372,medium,data/nutrition5k/images_expanded/dish_1560541793.png
dish_1568401261,530.393372,443.0,26.350721,34.582966,39.131962,medium,data/nutrition5k/images_expanded/dish_1568401261.png
dish_1565107143,454.274597,655.0,13.240049,31.671951,46.109219,medium,data/nutrition5k/images_expanded/dish_1565107143.png
dish_1562945499,454.508362,625.0,11.256931,65.264664,26.271181,medium,data/nutrition5k/images_expanded/dish_1562945499.png
dish_1560369403,411.967804,405.0,30.986551,28.932995,43.259884,medium,data/nutrition5k/images_expanded/dish_1560369403.png
dish_1562959129,412.873596,293.0,22.177427,47.374996,24.672005,medium,data/nutrition5k/images_expanded/dish_1562959129.png
dish_1563824406,474.136047,387.0,28.472,17.138,39.376999,medium,data/nutrition5k/images_expanded/dish_1563824406.png
dish_1562691705,412.67688,554.0,11.57625,51.617321,27.196392,medium,data/nutrition5k/images_expanded/dish_1562691705.png
dish_1564171996,519.50116,484.0,21.996632,37.141384,43.830639,medium,data/nutrition5k/images_expanded/dish_1564171996.png
dish_1563302447,561.417053,440.0,27.385805,31.36202,48.122875,medium,data/nutrition5k/images_expanded/dish_1563302447.png
dish_1565033189,578.099976,507.0,22.564999,17.355999,76.664001,medium,data/nutrition5k/images_expanded/dish_1565033189.png
dish_1566328961,605.81781,308.0,24.900572,39.994911,52.083549,medium,data/nutrition5k/images_expanded/dish_1566328961.png
dish_1565721855,479.034454,450.0,15.635769,23.092735,59.862839,medium,data/nutrition5k/images_expanded/dish_1565721855.png
