dish_id,image_path,calories,calorie_level,mass,fat,carb,protein,split
dish_1560443537,,237.639999,low,411.0,0.913,60.169998,2.651,val
dish_1562873187,,64.216751,low,255.0,2.404025,9.26375,4.02645,train
dish_1562788032,,137.238892,low,214.0,6.001858,12.60999,9.557199,train
dish_1566835641,,312.766815,low,546.0,2.569756,14.950245,48.643902,train
dish_1551136396,,199.589996,low,170.0,13.434,12.315001,12.021999,val
dish_1566331828,,349.583069,low,306.0,11.754175,20.38279,41.194607,train
dish_1564000536,,659.906189,medium,397.0,27.075863,60.701588,43.828613,train
dish_1562790259,,518.591736,medium,207.0,43.956383,7.921093,27.413876,test
dish_1561060703,,538.466736,medium,445.0,23.648355,44.77372,37.730045,train
dish_1563295400,,402.984802,medium,269.0,24.84903,26.972351,18.609489,train
dish_1562959190,,518.801147,medium,378.0,31.28495,53.022335,26.722988,train
dish_1558372948,,687.939026,medium,119.0,58.904999,27.013,26.656,train
dish_1565640894,,464.892029,medium,422.0,18.178001,20.476002,55.195004,train
dish_1562603842,,594.2453,medium,237.0,38.460644,60.725197,6.708,train
dish_1563309398,,655.986816,medium,604.0,20.217884,23.338593,93.24395,train
dish_1563553780,,557.728821,medium,167.0,42.536613,23.808483,25.768,train
dish_1566923060,,515.820007,medium,248.0,34.609001,33.981998,18.783001,train
dish_1561575068,,421.936707,medium,436.0,17.683113,16.640642,49.57029,train
dish_1559842136,,460.083038,medium,338.0,26.722002,51.560997,13.864,train
dish_1568233478,,718.040039,medium,336.0,39.799999,2.014,83.916,train
dish_1561404505,,543.92334,medium,442.0,34.617195,25.785635,36.765293,test
dish_1562958809,,511.673645,medium,389.0,24.147148,44.695526,28.865578,train
dish_1564590288,,464.855835,medium,848.0,4.442219,57.084778,44.839493,train
dish_1559581356,,436.946686,medium,294.0,31.165363,8.55025,29.397259,train
dish_1551382149,,782.096008,medium,134.0,4.372,150.31601,75.929993,train
dish_1562617492,,558.5578,medium,373.0,27.255165,39.354103,39.668491,train
dish_1564687090,,498.018677,medium,416.0,32.74007,40.485527,38.089466,train
dish_1562010085,,440.321442,medium,264.0,25.204319,11.446744,41.166977,train
dish_1565203015,,663.939575,medium,397.0,19.142382,8.94381,107.055565,train
dish_1568217372,,508.916168,medium,244.0,41.079079,6.503528,27.115328,train
dish_1560798815,,404.963837,medium,341.0,15.423538,46.987759,22.861877,train
dish_1566246573,,563.555054,medium,421.0,27.778999,14.719999,63.474003,train
dish_1560367733,,661.441162,medium,388.0,26.763107,54.923664,46.178318,val
dish_1551493942,,421.286011,medium,175.0,31.874001,9.452,23.579,train
dish_1568144954,,427.712158,medium,492.0,11.404531,24.261692,56.691856,train
dish_1558380557,,699.320068,medium,212.0,54.440002,24.960001,32.732002,train
dish_1566402095,,421.11615,medium,577.0,8.430679,32.411625,46.206608,train
dish_1550775393,,402.750031,medium,166.0,30.093002,28.189999,12.973,train
dish_1565382856,,446.326233,medium,294.0,19.171455,52.541916,18.301077,test
dish_1563468362,,411.686035,medium,598.0,9.998622,58.30032,23.599888,test
dish_1562690144,,645.762329,medium,354.0,48.078743,8.460017,43.36623,train
dish_1560360148,,587.794006,medium,317.0,33.510998,41.481003,29.463799,train
dish_1559242221,,659.033997,medium,114.0,56.43,25.878,25.536001,train
dish_1563481061,,541.200073,medium,350.0,29.770956,34.385365,32.6689,train
dish_1566413510,,751.383057,medium,412.0,58.564003,17.134001,44.223,train
dish_1562947503,,438.122009,medium,408.0,20.1,42.709999,21.657999,train
dish_1559678405,,552.346069,medium,386.0,37.108223,14.894657,39.692425,test
dish_1563378344,,419.475006,medium,119.0,19.278,53.193001,8.33,train
dish_1550713114,,425.690033,medium,218.0,34.531002,19.782,17.199001,train
dish_1558719994,,768.873047,medium,133.0,65.834999,30.191,29.792002,train
dish_1561996647,,499.745972,medium,330.0,31.757,26.397999,27.354,val
dish_1562008517,,401.729523,medium,370.0,11.505786,54.154385,21.236305,train
dish_1565894910,,537.113037,medium,179.0,21.353001,67.945007,18.191,train
dish_1562790855,,739.376465,medium,507.0,67.884842,23.783417,78.431671,train
dish_1561661850,,648.975952,medium,264.0,25.375412,67.575478,35.485809,train
dish_1562789301,,606.91156,medium,435.0,24.518549,68.411819,35.305656,test
dish_1562169840,,739.663696,medium,389.0,53.890759,21.785473,41.75605,train
dish_1558376483,,735.030029,medium,270.0,55.444,32.240002,33.301003,train
dish_1565972715,,657.545837,medium,510.0,46.845226,15.662046,43.166805,train
dish_1562961650,,555.712891,medium,312.0,32.363281,40.29348,45.515503,train
dish_1566246541,,460.055023,medium,331.0,18.148998,9.049999,62.754002,train
dish_1550707110,,645.002014,medium,334.0,43.278999,26.605999,35.141003,train
dish_1560800836,,479.399994,medium,170.0,20.4,54.399998,20.4,train
dish_1559933834,,775.029236,medium,458.0,51.820778,22.731771,54.541294,train
dish_1562960520,,422.399261,medium,303.0,19.659971,31.715603,29.545202,test
dish_1564159636,,487.873688,medium,134.0,37.411686,5.267181,31.4161,val
dish_1561492204,,488.636322,medium,334.0,15.686282,49.120712,37.193401,train
dish_1567022296,,425.410004,medium,444.0,10.966,18.481001,61.859001,test
dish_1565727851,,406.473999,medium,305.0,21.754999,13.028001,41.220005,train
dish_1558718974,,422.013,medium,73.0,36.135002,16.570999,16.352001,train
dish_1561579902,,406.397736,medium,247.0,24.016941,9.004458,37.768024,train
dish_1565811091,,504.400024,medium,371.0,17.632,9.06,74.731003,train
dish_1560367698,,556.721252,medium,295.0,26.010103,33.583664,43.318321,train
dish_1560887480,,668.084106,medium,374.0,30.156406,53.686604,43.585083,train
dish_1562085185,,550.51001,medium,227.0,39.369999,28.83,21.147999,train
dish_1563568338,,631.706665,medium,371.0,29.600521,57.599113,38.704674,train
dish_1564589072,,419.31073,medium,241.0,24.043901,31.756098,17.40756,train
dish_1565107211,,523.634644,medium,799.0,13.528048,49.041954,47.71722,train
dish_1551493278,,417.876007,medium,198.0,26.646,24.011999,20.226,train
dish_1563984296,,436.337067,medium,871.0,3.53839,44.607613,51.177761,train
dish_1558379391,,604.062073,medium,223.0,45.939999,28.863998,26.037001,train
dish_1565195493,,406.998535,medium,291.0,21.026194,20.198807,30.984879,train
dish_1563378372,,468.165009,medium,128.0,23.058001,53.319,11.66,test
dish_1565119439,,465.412231,medium,189.0,19.563423,42.858475,27.351355,train
dish_1565382886,,470.086212,medium,348.0,20.305454,54.863914,20.029079,train
dish_1563812615,,402.784088,medium,386.0,18.810022,17.201342,39.896744,train
dish_1568061320,,535.839905,medium,491.0,19.667326,48.117958,41.280106,train
dish_1566333255,,515.545227,medium,372.0,20.582203,43.079132,39.081741,train
dish_1567526814,,408.25,medium,639.0,7.166,34.331001,45.199997,val
dish_1560444815,,495.119995,medium,571.0,26.717999,40.627998,25.66,test
dish_1551236550,,445.798035,medium,178.0,14.124001,48.341,29.990002,train
dish_1562959599,,403.636139,medium,281.0,26.581678,28.355869,25.209208,train
dish_1566938088,,494.496582,medium,381.0,18.896538,44.580452,36.300964,train
dish_1562602687,,721.365173,medium,311.0,52.319649,32.215893,31.824261,train
dish_1561578898,,442.549774,medium,267.0,19.157742,51.731304,17.11825,train
dish_1567714875,,681.06897,medium,416.0,36.611,14.635,74.411995,val
dish_1565972384,,432.243896,medium,706.0,4.748146,30.064856,57.15366,train
dish_1560360102,,401.494019,medium,248.0,27.991001,13.674002,23.033001,test
dish_1551491297,,475.442017,medium,192.0,35.541,5.58,31.621,train
dish_1565638365,,612.350098,medium,389.0,33.065617,36.632473,41.299091,train
dish_1557862783,,442.97998,medium,258.0,24.919001,3.85,50.416,train
dish_1564415571,,435.97464,medium,754.0,5.317805,25.21866,61.925365,train
dish_1566244964,,439.410522,medium,483.0,18.83005,37.084591,32.940952,train
dish_1563304369,,457.172119,medium,326.0,16.765852,27.775938,47.262756,train
dish_1561996122,,405.380005,medium,173.0,30.809999,2.692,27.560001,train
dish_1561996369,,401.080017,medium,271.0,29.809999,4.336,27.1,train
dish_1558379876,,1148.250977,high,374.0,89.766998,32.146,68.292,train
dish_1559244649,,906.761047,high,455.0,40.265182,51.688858,83.275085,val
dish_1551567508,,9170.099609,high,7974.0,853.218018,502.362,63.792004,train
dish_1563567372,,951.910889,high,590.0,66.170242,81.629341,75.377937,train
dish_1564082462,,905.354492,high,609.0,32.071827,40.532917,108.82251,train
dish_1565033220,,908.60498,high,578.0,59.342999,19.202002,76.664001,test
dish_1566414780,,807.416321,high,651.0,35.501945,33.422516,102.633827,train
dish_1566502573,,821.510193,high,487.0,43.20623,60.718185,51.18927,train
dish_1558637423,,948.859009,high,409.0,66.363998,77.916,32.687,train
dish_1561753075,,945.670715,high,668.0,47.436813,46.316841,82.687485,train
dish_1566931674,,990.989014,high,531.0,76.803001,23.140001,58.401997,val
dish_1560357297,,942.454041,high,492.0,71.887001,10.706,59.336998,train
dish_1565203094,,898.019653,high,485.0,27.678381,37.98381,116.735558,train
dish_1566591080,,909.629578,high,549.0,43.513371,19.378721,103.567314,train
dish_1565033265,,1324.084961,high,625.0,106.343002,19.202002,76.664001,train
dish_1566328776,,901.810059,high,436.0,28.684999,78.293999,77.723999,train
dish_1558375886,,1050.511108,high,277.0,84.153,42.757,44.874004,train
dish_1562603867,,1049.11731,high,369.0,74.496643,66.269196,32.184002,train
dish_1551567573,,9485.81543,high,159.0,875.541016,506.078979,87.785004,train
dish_1563480608,,886.946472,high,650.0,40.421227,42.644722,83.222633,train
dish_1568147009,,811.880005,high,506.0,38.369999,8.892,105.582001,test
dish_1566414342,,846.367065,high,552.0,31.578682,53.343304,83.57795,train
dish_1561577598,,813.452026,high,393.0,46.151894,26.876921,67.191734,train
dish_1563476463,,1067.511108,high,542.0,50.651024,65.623291,82.447823,train
dish_1566414412,,920.120422,high,658.0,37.812386,57.062336,85.334846,val
dish_1560356627,,980.047974,high,301.0,75.973999,6.92,63.124001,train
dish_1563304958,,951.840942,high,614.0,34.427452,13.26985,141.707581,train
dish_1558378634,,874.966003,high,315.0,64.777,44.301998,37.979,train
dish_1566591022,,860.101868,high,467.0,41.21085,11.78919,102.851151,train
dish_1558721827,,886.523071,high,429.0,66.524002,59.541,32.415001,train
dish_1563305083,,1234.856323,high,901.0,56.759739,32.056351,147.491821,train
dish_1568318480,,1119.280029,high,587.0,67.208,9.174999,117.905998,train
dish_1563827482,,894.521667,high,621.0,55.955669,24.548782,77.380013,val
dish_1563305047,,1032.31189,high,806.0,36.693317,28.700218,143.492493,train
dish_1562180157,,1009.176697,high,557.0,72.163277,25.456959,63.837643,train
dish_1558373159,,1013.337036,high,334.0,79.117996,30.505001,60.625,train
dish_1568147044,,1032.880005,high,531.0,63.369999,8.892,105.582001,train
dish_1568401090,,1158.98999,high,614.0,73.225998,18.445999,108.667999,train
dish_1563304925,,874.46106,high,508.0,29.339449,11.255851,133.227585,train
dish_1562180089,,851.298767,high,437.0,57.796677,19.00104,60.67337,train
dish_1558725286,,816.792053,high,308.0,65.965004,40.704002,33.318001,train
dish_1560974769,,3943.325195,high,3051.0,10.976549,844.568604,83.749603,train
dish_1564686832,,829.737549,high,392.0,39.732468,64.516342,54.179504,train
dish_1564685482,,851.396545,high,337.0,49.484638,63.400967,40.429775,train
dish_1564686855,,1030.160645,high,435.0,52.116467,85.930336,56.845505,test
dish_1566328831,,941.609985,high,500.0,30.021,85.809998,78.080002,train
dish_1551567604,,9485.81543,high,159.0,875.541016,506.07901,87.785004,train
dish_1566501153,,1006.917969,high,419.0,83.761002,17.909,50.879002,test
dish_1561752996,,848.655762,high,415.0,42.90057,36.336651,76.788078,train
dish_1563476551,,1116.391113,high,750.0,51.413692,74.705963,85.498482,train
dish_1551389551,,2400.780029,high,133.0,27.552002,732.300049,90.181999,train
dish_1558116298,,854.690979,high,368.0,62.372002,48.107002,35.868004,train
dish_1563826306,,882.837463,high,312.0,48.949856,69.584892,44.391125,train
dish_1561753021,,918.175781,high,573.0,46.218571,43.13065,81.844078,train
dish_1551389458,,2312.459961,high,7974.0,23.922001,717.660034,87.713997,val
dish_1558720236,,887.823059,high,407.0,66.440002,60.460999,31.913002,test
dish_1565811139,,902.200012,high,416.0,62.632004,9.06,74.731003,train
dish_1566590056,,815.647644,high,519.0,34.712166,63.927059,62.926941,train
dish_1564170010,,1264.54834,high,831.0,61.893875,57.291939,116.862572,test
dish_1551389588,,2400.780029,high,133.0,27.552002,732.300049,90.181999,val
dish_1561737293,,801.822021,high,636.0,46.077,55.828995,41.927002,train
dish_1562603895,,1268.157349,high,517.0,90.776642,68.637192,46.984001,train
dish_1563476408,,990.400024,high,513.0,47.925026,55.908291,79.199821,train
dish_1567801520,,919.097168,high,600.0,42.248199,53.029022,79.971626,test
dish_1558373492,,888.22998,high,325.0,66.768997,42.290001,38.957001,train
dish_1566591048,,876.201843,high,481.0,42.708851,12.67119,102.963142,train
dish_1566329049,,814.930786,high,575.0,28.273495,79.15834,60.86187,train
dish_1566328805,,927.809998,high,488.0,28.737,85.054001,77.984001,train
dish_1563305005,,1003.948853,high,720.0,35.681553,23.725708,142.649384,train
dish_1568305257,,837.147766,high,420.0,65.496887,9.31325,52.072983,train
dish_1568318408,,907.119995,high,563.0,43.207996,9.174999,117.905998,val
dish_1560527225,,937.789368,high,503.0,65.745911,31.893578,52.88044,test
dish_1563478751,,950.395081,high,545.0,45.303986,54.133282,74.772202,train
dish_1563476577,,1238.033691,high,857.0,62.574154,79.60125,87.671616,train
